GSRx - HK200917-0
Ship-to Account: NA312
"QOrd","S/F","MF","SZ","Mat","Sty","Ind","Color","Coat","BoxCv","Sph/Grp","Cyl/Add","OPC","Tray#","Cost"
"9","F","HK","76","PLY ","SV              "," ","CLR","   ","","-2.50","-0.50","9999203509","","45.00"
"14.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-2.25","-0.50","9999203632","","72.50"
"10","F","HK","76","PLY ","SV              "," ","CLR","   ","","-2.00","-0.50","9999203764","","50.00"
"2","F","HK","76","PLY ","SV              "," ","CLR","   ","","-1.75","-0.50","9999203897","","10.00"
"11","F","HK","76","PLY ","SV              "," ","CLR","   ","","-1.50","-0.50","9999204028","","55.00"
"17.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-1.25","-0.50","9999204150","","87.50"
"2","F","HK","76","PLY ","SV              "," ","CLR","   ","","-1.00","-0.50","9999204283","","10.00"
"11","F","HK","76","PLY ","SV              "," ","CLR","   ","","-0.75","-0.50","9999204416","","55.00"
"9.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-0.50","-0.50","9999204549","","47.50"
"2","F","HK","76","PLY ","SV              "," ","CLR","   ","","-0.25","-0.50","9999204671","","10.00"
"5","F","HK","76","PLY ","SV              "," ","CLR","   ","","+0.00","-0.50","9999200034","","25.00"
"2","F","HK","76","PLY ","SV              "," ","CLR","   ","","-5.00","-0.75","9999202212","","10.00"
"3.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-4.50","-0.75","9999202477","","17.50"
"3","F","HK","76","PLY ","SV              "," ","CLR","   ","","-4.25","-0.75","9999202600","","15.00"
"3","F","HK","76","PLY ","SV              "," ","CLR","   ","","-4.00","-0.75","9999202733","","15.00"
"6.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-3.75","-0.75","9999202865","","32.50"
"3","F","HK","76","PLY ","SV              "," ","CLR","   ","","-2.75","-0.75","9999203384","","15.00"
"1.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-2.25","-0.75","9999203640","","7.50"
"5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-2.00","-0.75","9999203772","","25.00"
"3","F","HK","76","PLY ","SV              "," ","CLR","   ","","-1.75","-0.75","9999203905","","15.00"
"3.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-1.50","-0.75","9999204036","","17.50"
"9","F","HK","76","PLY ","SV              "," ","CLR","   ","","-1.00","-0.75","9999204291","","45.00"
"3.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-0.75","-0.75","9999204424","","17.50"
"11.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-0.50","-0.75","9999204556","","57.50"
"13.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-0.25","-0.75","9999204689","","67.50"
"28","F","HK","76","PLY ","SV              "," ","CLR","   ","","+0.00","-0.75","9999200042","","140.00"
"2","F","HK","76","PLY ","SV              "," ","CLR","   ","","-5.75","-1.00","9999600464","","10.00"
"3.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-4.75","-1.00","9999202352","","17.50"
"1.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-3.25","-1.00","9999203137","","7.50"
"3.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-3.00","-1.00","9999203269","","17.50"
"5.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-2.75","-1.00","9999203392","","27.50"
"1.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-2.50","-1.00","9999203525","","7.50"
"3.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-2.25","-1.00","9999203657","","17.50"
"5.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-2.00","-1.00","9999203780","","27.50"
"4","F","HK","76","PLY ","SV              "," ","CLR","   ","","-1.75","-1.00","9999203913","","20.00"
"1.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-1.50","-1.00","9999204044","","7.50"
"1.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-1.25","-1.00","9999204176","","7.50"
"24","F","HK","76","PLY ","SV              "," ","CLR","   ","","-1.00","-1.00","9999204309","","120.00"
"9.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-0.75","-1.00","9999204432","","47.50"
"5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-0.50","-1.00","9999204564","","25.00"
"3.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-0.25","-1.00","9999204697","","17.50"
"14","F","HK","76","PLY ","SV              "," ","CLR","   ","","+0.00","-1.00","9999200059","","70.00"
"1.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-4.50","-1.25","9999202493","","7.50"
"1.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-4.00","-1.25","9999202758","","7.50"
"1.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-3.75","-1.25","9999202881","","7.50"
"1.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-3.50","-1.25","9999203012","","7.50"
"3","F","HK","76","PLY ","SV              "," ","CLR","   ","","-3.25","-1.25","9999203145","","15.00"
"8.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-2.75","-1.25","9999203400","","42.50"
"1.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-2.50","-1.25","9999203533","","7.50"
"3.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-2.25","-1.25","9999203665","","17.50"
"1.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-2.00","-1.25","9999203798","","7.50"
"3.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-1.75","-1.25","9999203921","","17.50"
"10","F","HK","76","PLY ","SV              "," ","CLR","   ","","-1.50","-1.25","9999204051","","50.00"
"13","F","HK","76","PLY ","SV              "," ","CLR","   ","","-1.25","-1.25","9999204184","","65.00"
"4","F","HK","76","PLY ","SV              "," ","CLR","   ","","-1.00","-1.25","9999204317","","20.00"
"1.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-0.75","-1.25","9999204440","","7.50"
"1.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-0.50","-1.25","9999204572","","7.50"
"2","F","HK","76","PLY ","SV              "," ","CLR","   ","","-0.25","-1.25","9999204705","","10.00"
"2","F","HK","76","PLY ","SV              "," ","CLR","   ","","+0.00","-1.25","9999200067","","10.00"
"2","F","HK","76","PLY ","SV              "," ","CLR","   ","","-4.00","-1.50","9999202766","","10.00"
"1.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-3.50","-1.50","9999203020","","7.50"
"9","F","HK","76","PLY ","SV              "," ","CLR","   ","","-3.25","-1.50","9999203152","","45.00"
"1.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-2.00","-1.50","9999203806","","7.50"
"9.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-1.75","-1.50","9999203939","","47.50"
"5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-1.50","-1.50","9999204069","","25.00"
"7","F","HK","76","PLY ","SV              "," ","CLR","   ","","-1.00","-1.50","9999204325","","35.00"
"6.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-0.75","-1.50","9999204457","","32.50"
"3","F","HK","76","PLY ","SV              "," ","CLR","   ","","-0.50","-1.50","9999204580","","15.00"
"1.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-0.25","-1.50","9999204713","","7.50"
"3.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","+0.00","-1.50","9999200075","","17.50"
"1.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-4.00","-1.75","9999202774","","7.50"
"1.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-3.00","-1.75","9999203293","","7.50"
"1.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-2.75","-1.75","9999203426","","7.50"
"1.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-2.25","-1.75","9999203681","","7.50"
"1.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-2.00","-1.75","9999203814","","7.50"
"1.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-1.75","-1.75","9999203947","","7.50"
"6","F","HK","76","PLY ","SV              "," ","CLR","   ","","-1.00","-1.75","9999204333","","30.00"
"1.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-0.50","-1.75","9999204598","","7.50"
"3.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-0.25","-1.75","9999204721","","17.50"
"1.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","+0.00","-1.75","9999200083","","7.50"
"1.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-5.00","-2.00","9999202261","","7.50"
"2","F","HK","76","PLY ","SV              "," ","CLR","   ","","-2.25","-2.00","9999203699","","10.00"
"1.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-2.00","-2.00","9999203822","","7.50"
"1.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-1.75","-2.00","9999203954","","7.50"
"1.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-1.50","-2.00","9999204085","","7.50"
"5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-0.75","-2.00","9999204473","","25.00"
"9","F","HK","76","PLY ","SV              "," ","CLR","   ","","+0.00","-2.00","9999200091","","45.00"
"1.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-4.50","-2.25","9999202535","","7.50"
"1.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-4.25","-2.25","9999202667","","7.50"
"1.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-4.00","-2.25","9999202790","","7.50"
"1.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-3.50","-2.25","9999203053","","7.50"
"1.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-3.00","-2.25","9999203319","","7.50"
"5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-2.75","-2.25","9999203442","","25.00"
"1.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-2.50","-2.25","9999203574","","7.50"
"1.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-2.25","-2.25","9999203707","","7.50"
"3.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-1.25","-2.25","9999204226","","17.50"
"1.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-0.75","-2.25","9999204481","","7.50"
"4","F","HK","76","PLY ","SV              "," ","CLR","   ","","-0.25","-2.25","9999204747","","20.00"
"1.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","+0.00","-2.25","9999200109","","7.50"
"1.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-2.00","-2.50","9999203848","","7.50"
"1.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-4.25","-2.75","9999202683","","7.50"
"1.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-4.00","-2.75","9999202816","","7.50"
"1.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-3.75","-2.75","9999202949","","7.50"
"1.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-2.00","-2.75","9999203855","","7.50"
"3","F","HK","76","PLY ","SV              "," ","CLR","   ","","-1.50","-2.75","9999204119","","15.00"
"5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-1.25","-2.75","9999204242","","25.00"
"8","F","HK","76","PLY ","SV              "," ","CLR","   ","","-0.75","-2.75","9999204507","","40.00"
"3.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","+0.00","-2.75","9999200125","","17.50"
"1.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-2.75","-3.00","9999203475","","7.50"
"1.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-2.00","-3.00","9999203863","","7.50"
"3.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-1.75","-3.00","9999203996","","17.50"
"1.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-1.50","-3.00","9999204127","","7.50"
"5","F","HK","76","PLY ","SV              "," ","CLR","   ","","+0.00","-3.00","9999200133","","25.00"
"1.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-4.50","-3.25","9999209795","","7.50"
"3.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-2.00","-3.25","9999210199","","17.50"
"5.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","+0.00","-3.25","9999210512","","27.50"
"1.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-4.50","-3.50","9999209803","","7.50"
"3.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-2.00","-3.50","9999210207","","17.50"
"1.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-4.00","-3.75","9999209894","","7.50"
"1.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-2.25","-3.75","9999210173","","7.50"
"1.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-0.25","-3.75","9999210496","","7.50"
"1.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","+0.00","-3.75","9999210538","","7.50"
"1.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-3.00","-4.00","9999210066","","7.50"
"1.5","F","HK","76","PLY ","SV              "," ","CLR","   ","","-0.25","-4.00","9999210504","","7.50"
"18","F","HK","65","PLY ","SV              "," ","CLR","INF","","+0.50","0.00","9999205041","","126.00"
"5","F","HK","65","PLY ","SV              "," ","CLR","INF","","+0.75","0.00","9999205173","","35.00"
"12.5","F","HK","65","PLY ","SV              "," ","CLR","INF","","+1.00","0.00","9999205306","","87.50"
"5","F","HK","65","PLY ","SV              "," ","CLR","INF","","+1.25","0.00","9999205439","","35.00"
"2.5","F","HK","65","PLY ","SV              "," ","CLR","INF","","+1.75","0.00","9999205694","","17.50"
"2.5","F","HK","65","PLY ","SV              "," ","CLR","INF","","+0.75","-0.25","9999205181","","17.50"
"2.5","F","HK","65","PLY ","SV              "," ","CLR","INF","","+1.00","-0.25","9999205314","","17.50"
"2.5","F","HK","65","PLY ","SV              "," ","CLR","INF","","+1.25","-0.25","9999205447","","17.50"
"2.5","F","HK","65","PLY ","SV              "," ","CLR","INF","","+1.75","-0.25","9999205702","","17.50"
"5","F","HK","65","PLY ","SV              "," ","CLR","INF","","+2.00","-0.25","9999205835","","35.00"
"5","F","HK","65","PLY ","SV              "," ","CLR","INF","","+2.75","-0.50","9999206239","","35.00"
"5","F","HK","65","PLY ","SV              "," ","CLR","INF","","+1.00","-0.75","9999205330","","35.00"
"2.5","F","HK","65","PLY ","SV              "," ","CLR","INF","","+1.50","-1.00","9999205603","","17.50"
"5","F","HK","65","PLY ","SV              "," ","CLR","INF","","+0.50","-1.25","9999205090","","35.00"
"2.5","F","HK","65","PLY ","SV              "," ","CLR","INF","","+2.00","-1.25","9999205876","","17.50"
"2.5","F","HK","65","PLY ","SV              "," ","CLR","INF","","+1.25","-1.50","9999205496","","17.50"
"2.5","F","HK","65","PLY ","SV              "," ","CLR","INF","","+1.75","-1.50","9999205751","","17.50"
"2.5","F","HK","65","PLY ","SV              "," ","CLR","INF","","+2.00","-1.50","9999205884","","17.50"
"2.5","F","HK","65","PLY ","SV              "," ","CLR","INF","","+2.25","-2.00","9999206031","","17.50"
"2.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-5.50","0.00","9999206692","","17.50"
"2.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-5.25","0.00","9999206825","","17.50"
"5.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-3.50","0.00","9999207732","","38.50"
"11","F","HK","76","PLY ","SV              "," ","CLR","INF","","-3.25","0.00","9999207864","","77.00"
"8","F","HK","76","PLY ","SV              "," ","CLR","INF","","-3.00","0.00","9999207997","","56.00"
"12.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-2.50","0.00","9999208250","","87.50"
"10","F","HK","76","PLY ","SV              "," ","CLR","INF","","-2.25","0.00","9999208383","","70.00"
"12.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-2.00","0.00","9999208516","","87.50"
"29.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-1.75","0.00","9999208649","","206.50"
"10.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-1.50","0.00","9999208771","","73.50"
"10","F","HK","76","PLY ","SV              "," ","CLR","INF","","-1.00","0.00","9999209035","","70.00"
"21.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-0.75","0.00","9999209167","","150.50"
"19.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-0.50","0.00","9999209290","","136.50"
"13.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","+0.00","0.00","9999204788","","94.50"
"5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-5.25","-0.25","9999206833","","35.00"
"2.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-3.25","-0.25","9999207872","","17.50"
"8","F","HK","76","PLY ","SV              "," ","CLR","INF","","-3.00","-0.25","9999208003","","56.00"
"5.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-2.25","-0.25","9999208391","","38.50"
"2.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-2.00","-0.25","9999208524","","17.50"
"17.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-1.75","-0.25","9999208656","","122.50"
"2.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-1.50","-0.25","9999208789","","17.50"
"8","F","HK","76","PLY ","SV              "," ","CLR","INF","","-1.25","-0.25","9999208912","","56.00"
"5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-1.00","-0.25","9999209043","","35.00"
"10","F","HK","76","PLY ","SV              "," ","CLR","INF","","-0.50","-0.25","9999209308","","70.00"
"10","F","HK","76","PLY ","SV              "," ","CLR","INF","","-0.25","-0.25","9999209431","","70.00"
"5","F","HK","76","PLY ","SV              "," ","CLR","INF","","+0.00","-0.25","9999204796","","35.00"
"2.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-4.75","-0.50","9999207104","","17.50"
"5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-4.50","-0.50","9999207237","","35.00"
"5.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-4.00","-0.50","9999207492","","38.50"
"2.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-3.75","-0.50","9999207625","","17.50"
"2.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-3.50","-0.50","9999207757","","17.50"
"2.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-3.25","-0.50","9999207880","","17.50"
"2.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-3.00","-0.50","9999208011","","17.50"
"5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-2.50","-0.50","9999208276","","35.00"
"2.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-2.25","-0.50","9999208409","","17.50"
"8.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-2.00","-0.50","9999208532","","59.50"
"29.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-1.75","-0.50","9999208664","","206.50"
"8","F","HK","76","PLY ","SV              "," ","CLR","INF","","-1.50","-0.50","9999208797","","56.00"
"12.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-1.25","-0.50","9999208920","","87.50"
"22.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-1.00","-0.50","9999209050","","157.50"
"20.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-0.50","-0.50","9999209316","","143.50"
"2.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-0.25","-0.50","9999209449","","17.50"
"8.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","+0.00","-0.50","9999204804","","59.50"
"5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-4.75","-0.75","9999207112","","35.00"
"8","F","HK","76","PLY ","SV              "," ","CLR","INF","","-4.50","-0.75","9999207245","","56.00"
"5.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-4.00","-0.75","9999207500","","38.50"
"5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-3.75","-0.75","9999207633","","35.00"
"2.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-3.50","-0.75","9999207765","","17.50"
"2.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-3.25","-0.75","9999207898","","17.50"
"5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-3.00","-0.75","9999208029","","35.00"
"2.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-2.00","-0.75","9999208540","","17.50"
"2.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-1.75","-0.75","9999208672","","17.50"
"5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-1.50","-0.75","9999208805","","35.00"
"2.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-1.00","-0.75","9999209068","","17.50"
"8","F","HK","76","PLY ","SV              "," ","CLR","INF","","-0.75","-0.75","9999209191","","56.00"
"2.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-0.50","-0.75","9999209324","","17.50"
"2.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-0.25","-0.75","9999209456","","17.50"
"10","F","HK","76","PLY ","SV              "," ","CLR","INF","","+0.00","-0.75","9999204812","","70.00"
"2.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-4.00","-1.00","9999207518","","17.50"
"2.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-3.50","-1.00","9999207773","","17.50"
"5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-3.00","-1.00","9999208037","","35.00"
"2.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-2.50","-1.00","9999208292","","17.50"
"2.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-1.75","-1.00","9999208680","","17.50"
"13","F","HK","76","PLY ","SV              "," ","CLR","INF","","-1.50","-1.00","9999208813","","91.00"
"8.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-1.25","-1.00","9999208946","","59.50"
"2.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-1.00","-1.00","9999209076","","17.50"
"5.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-0.50","-1.00","9999209332","","38.50"
"10","F","HK","76","PLY ","SV              "," ","CLR","INF","","-0.25","-1.00","9999209464","","70.00"
"8","F","HK","76","PLY ","SV              "," ","CLR","INF","","+0.00","-1.00","9999204820","","56.00"
"5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-5.00","-1.25","9999207005","","35.00"
"5.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-4.25","-1.25","9999207393","","38.50"
"2.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-4.00","-1.25","9999207526","","17.50"
"2.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-3.00","-1.25","9999208045","","17.50"
"5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-2.50","-1.25","9999208300","","35.00"
"5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-2.00","-1.25","9999208565","","35.00"
"5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-1.75","-1.25","9999208698","","35.00"
"10","F","HK","76","PLY ","SV              "," ","CLR","INF","","-1.50","-1.25","9999208821","","70.00"
"5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-1.25","-1.25","9999208953","","35.00"
"8.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-1.00","-1.25","9999209084","","59.50"
"2.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-0.50","-1.25","9999209340","","17.50"
"5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-0.25","-1.25","9999209472","","35.00"
"2.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-5.00","-1.50","9999207013","","17.50"
"2.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-4.50","-1.50","9999207278","","17.50"
"2.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-3.25","-1.50","9999207922","","17.50"
"5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-2.25","-1.50","9999208441","","35.00"
"2.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-1.75","-1.50","9999208706","","17.50"
"2.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-1.50","-1.50","9999208839","","17.50"
"5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-1.25","-1.50","9999208961","","35.00"
"5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-1.00","-1.50","9999209092","","35.00"
"2.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-4.00","-1.75","9999207542","","17.50"
"2.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-3.50","-1.75","9999207807","","17.50"
"2.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-2.50","-1.75","9999208326","","17.50"
"5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-2.25","-1.75","9999208458","","35.00"
"5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-1.75","-1.75","9999208714","","35.00"
"5.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-1.50","-1.75","9999208847","","38.50"
"2.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-1.25","-1.75","9999208979","","17.50"
"2.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-0.25","-1.75","9999209498","","17.50"
"5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-3.00","-2.00","9999208078","","35.00"
"2.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-2.50","-2.00","9999208334","","17.50"
"5.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-1.50","-2.00","9999208854","","38.50"
"5.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-1.00","-2.00","9999209118","","38.50"
"2.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-3.75","-2.25","9999207690","","17.50"
"5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-1.25","-2.25","9999208995","","35.00"
"10.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-0.50","-2.25","9999209381","","73.50"
"5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-0.25","-2.25","9999209514","","35.00"
"2.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-3.75","-2.50","9999207708","","17.50"
"5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-1.75","-2.50","9999208748","","35.00"
"5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-1.50","-2.50","9999208870","","35.00"
"5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-0.50","-2.50","9999209399","","35.00"
"5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-1.50","-2.75","9999208888","","35.00"
"2.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-2.75","-3.00","9999208243","","17.50"
"5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-1.50","-3.25","9999201735","","35.00"
"2.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-0.50","-3.25","9999201891","","17.50"
"5.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-1.75","-3.50","9999201701","","38.50"
"5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-1.00","-3.50","9999201826","","35.00"
"2.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-1.25","-3.75","9999201792","","17.50"
"5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-0.75","-3.75","9999201875","","35.00"
"2.5","F","HK","76","PLY ","SV              "," ","CLR","INF","","-0.25","-4.00","9999201966","","17.50"
"1.5","F","HK","65","H60 ","ASPHERIC-SV     "," ","CLR","INF","","+3.00","-0.75","9999305379","","17.25"
"2.5","F","HK","65","TRN ","SV              "," ","TGY","INF","","+0.75","-1.50","9999500334","","30.10"
"5","F","HK","70","TRN ","SV              "," ","TGY","INF","","-1.25","0.00","9999502355","","60.20"
"5","F","HK","70","TRN ","SV              "," ","TGY","INF","","-1.25","-0.50","9999502371","","60.20"
"2.5","F","HK","70","TRN ","SV              "," ","TGY","INF","","-0.75","-1.50","9999502678","","30.10"
